stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4672,,RUBEM BERTA POA-CIDADE JOIA,,-30.023882,-51.115646
6178,,TRISTEZA DR PEREIRA NETO,,-30.111585,-51.249543
4771,,RUBEM BERTA JOAO FAZIO AMATO,,-30.017322,-51.097631
4767,,RUBEM BERTA JOAO FAZIO AMATO,,-30.017834,-51.100114
4770,,RUBEM BERTA TREZE DE SETEMBRO,,-30.018412,-51.099313
4243,,SARANDI WILLY EUGENIO FLECK,,-29.996247,-51.118587
4839,,RUBEM BERTA WILLY EUGENIO FLECK,,-29.99552,-51.115758
4840,,RUBEM BERTA WILLY EUGENIO FLECK,,-29.995633,-51.115416
6530,,ALTO PETROPOLIS GERMANO SCHMARCZEK,,-30.045906,-51.133169
6529,,ALTO PETROPOLIS GERMANO SCHMARCZEK,,-30.045966,-51.133098
6528,,ALTO PETROPOLIS NEY DA GAMA AHRENDS,,-30.047551,-51.132885
6527,,ALTO PETROPOLIS DR JOSE BENTO CORREA,,-30.047708,-51.132999
6525,,SARANDI WILLY EUGENIO FLECK,,-29.997037,-51.119241
4242,,SARANDI WILLY EUGENIO FLECK,,-29.997031,-51.119353
6294,,JARDIM BOTANICO DR SALVADOR FRANCA,,-30.053926,-51.182055
6523,,HÍPICA DR ANTONIO MAZZAFERRO NETO,,-30.163138,-51.173707
6524,,CAVALHADA SILVIO SILVEIRA SOARES,,-30.101048,-51.234658
689,,CAVALHADA CAVALHADA,,-30.133616,-51.223876
1896,,GLORIA MANDUCA NUNES,,-30.075654,-51.193964
1893,,GLORIA MANDUCA NUNES,,-30.077971,-51.193418
1900,,GLORIA MANDUCA NUNES,,-30.076712,-51.193722
4830,,RUBEM BERTA GEN TELINO CHAGASTELLES,,-30.004884,-51.107112
4829,,RUBEM BERTA GEN TELINO CHAGASTELLES,,-30.005032,-51.107163
4826,,RUBEM BERTA PROF ALVARO BARCELLOS FERREIRA,,-30.004088,-51.107874
4825,,RUBEM BERTA PROF ALVARO BARCELLOS FERREIRA,,-30.004121,-51.108552
4824,,RUBEM BERTA PROF ALVARO BARCELLOS FERREIRA,,-30.004849,-51.109152
4827,,RUBEM BERTA GEN TELINO CHAGASTELLES,,-30.006634,-51.107233
4823,,RUBEM BERTA PROF ALVARO BARCELLOS FERREIRA,,-30.00533,-51.109279
4828,,RUBEM BERTA GEN TELINO CHAGASTELLES,,-30.006572,-51.107145
214,,BELEM NOVO FRANCISCA DE OLIVEIRA VIEIRA,,-30.197596,-51.17064
215,,BELEM NOVO FRANCISCA DE OLIVEIRA VIEIRA,,-30.197625,-51.170562
227,,BELEM NOVO FRANCISCA DE OLIVEIRA VIEIRA,,-30.192892,-51.16318
6522,,MEDIANEIRA NITEROI,,-30.069163,-51.208064
1753,,MEDIANEIRA NITEROI,,-30.069083,-51.207521
1754,,MEDIANEIRA NITEROI,,-30.06914,-51.207407
6521,,MEDIANEIRA NITEROI,,-30.069215,-51.207919
1728,,MEDIANEIRA NITEROI,,-30.069132,-51.209618
1727,,MEDIANEIRA NITEROI,,-30.069167,-51.20979
5824,,MEDIANEIRA NITEROI,,-30.068655,-51.212222
1721,,MEDIANEIRA NITEROI,,-30.06861,-51.212094
1006,,SANTA TEREZA CRUZEIRO DO SUL,,-30.082497,-51.229795
1007,,SANTA TEREZA CRUZEIRO DO SUL,,-30.082271,-51.229602
1352,,SANTA TEREZA CRUZEIRO DO SUL,,-30.080999,-51.227875
1355,,SANTA TEREZA CRUZEIRO DO SUL,,-30.079,-51.225117
1385,,SANTA TEREZA CRUZEIRO DO SUL,,-30.07756,-51.224167
2699,,JARDIM BOTANICO VALPARAISO,,-30.055164,-51.183519
4764,,RUBEM BERTA ANTONIO SEVERINO,,-30.020573,-51.097636
1755,,MEDIANEIRA CEL NEVES,,-30.068732,-51.207376
4777,,MARIO QUINTANA VICTOR CRAMER,,-30.021334,-51.095182
1730,,MEDIANEIRA CEL NEVES,,-30.066308,-51.209122
1725,,MEDIANEIRA CEL NEVES,,-30.065889,-51.210762
5181,,MEDIANEIRA CEL NEVES,,-30.065696,-51.211225
1729,,MEDIANEIRA CEL NEVES,,-30.066254,-51.209435
648,,CRISTAL GUAIBA,,-30.143429,-51.225959
647,,CRISTAL GUAIBA,,-30.143949,-51.225799
2704,,JARDIM BOTANICO FELIZARDO,,-30.051585,-51.182153
2052,,JARDIM BOTANICO VALPARAISO,,-30.054373,-51.185993
2041,,JARDIM BOTANICO VALPARAISO,,-30.053248,-51.189028
2703,,JARDIM BOTANICO FELIZARDO,,-30.05141,-51.182458
2063,,JARDIM BOTANICO FELIZARDO,,-30.050649,-51.184361
4778,,MARIO QUINTANA PAULO MENDES DA COSTA,,-30.021434,-51.094468
4779,,MARIO QUINTANA IRMAO FAUSTINO JOAO,,-30.023519,-51.091917
5093,,MARIO QUINTANA JULIO JOSE LOPES DA SILVA,,-30.035705,-51.103234
4774,,MARIO QUINTANA ANTERO SIMOES,,-30.021974,-51.097352
4780,,MÁRIO QUINTANA IRMAO FAUSTINO JOAO,,-30.021819,-51.092413
5787,, VENTOS DO SUL,,-30.123927,-51.208664
4772,,RUBEM BERTA IRMAOS MARISTAS,,-30.023922,-51.09755
4773,,MARIO QUINTANA ANTONIO SEVERINO,,-30.023592,-51.095886
4776,,MARIO QUINTANA ANTONIO SEVERINO,,-30.023635,-51.09394
4765,,RUBEM BERTA ANTONIO SEVERINO,,-30.019082,-51.100327
4766,,RUBEM BERTA ANTONIO SEVERINO,,-30.01881,-51.100215
4768,,RUBEM BERTA ANTONIO SEVERINO,,-30.017497,-51.10016
4902,,RUBEM BERTA ANTONIO SEVERINO,,-30.015261,-51.099689
6520,,RUBEM BERTA ANTONIO SEVERINO,,-30.015799,-51.099874
1353,,SANTA TEREZA CRUZEIRO DO SUL,,-30.080562,-51.227173
1354,,SANTA TEREZA CRUZEIRO DO SUL,,-30.078978,-51.225232
1388,,SANTA TEREZA CRUZEIRO DO SUL,,-30.075979,-51.222925
1387,,SANTA TEREZA CRUZEIRO DO SUL,,-30.076275,-51.223279
1391,,SANTA TEREZA CRUZEIRO DO SUL,,-30.073614,-51.220947
1407,,SANTA TEREZA CRUZEIRO DO SUL,,-30.073558,-51.22077
1386,,SANTA TEREZA CRUZEIRO DO SUL,,-30.077925,-51.224399
573,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.020755,-51.257486
600,,ELDORADO DO SUL MARTINHO POETA,,-29.992052,-51.273511
